nuclide TEXT;value REAL
Ag;134389.9563
Am;545718.3475
Ba;4542.797169
C;13.31916464
Ca;1376.831658
Cd;322741.0508
Ce;387777.6169
Cf;545718.3475
Cl;1
Cm;31282.80521
Co;111087.5049
Cr;26638.32929
Cs;140123.4408
Eu;471.0052883
H;1
I;143153.336
Ir;266383.2929
La;387777.6169
Mn;97070.35822
Nb;266.3832929
Ni;53276.65858
Np;26.63237654
P;133.1916464
Pa;19566662.6
Pb;17847.68062
Po;17847.68062
Pu;1423899.984
Ra;14034.45488
Ru;39319.63877
S;7991.498787
Sb;12623.5801
Se;2663.832929
Sr;1965.204083
Tc;25.86557344
Te;5327.665858
Th;19566662.6
U;286.7948684
Zn;403.9957029
Zr;4039.957029